WARNING: crossbar sizes with different row annd column dimension not supported.

      ==> Functional simulator configurations:
          weight_bits=16
          weight_bit_frac=12
          input_bits=16
          input_bit_frac=12
          xbar_row_size=128
          xbar_col_size=128
          tile_row=2
          tile_col=2
          bit_stream=1
          bit_slice=2
          adc_bit=14
          acm_bits=32
          acm_bit_frac=24
          mvm=False
          non-ideality=False
          
xbmodel=NN_model(
  (fc1): Linear(in_features=16512, out_features=500, bias=True)
  (relu1): ReLU(inplace=True)
  (do2): Dropout(p=0.5, inplace=False)
  (fc3): Linear(in_features=500, out_features=128, bias=True)
)
          
xbmodel_weight_path=../xb_models/XB_128_stream1slice207dropout50epochs.pth.tar
          inmax_test=1.4
          inmin_test=0.826


DEVICE: cuda:0
GPU Id(s) being used: 1,2,3
==> Building model and model_mvm for resnet18 ...
WARNING: crossbar sizes with different row annd column dimension not supported.
==> Initializing model parameters ...
==> Load pretrained model form ../pretrained_models/ideal/resnet18fp_imnet.pth.tar ...
Pretrained model accuracy: 69.93189239501953
[156/782(20%)]	Loss 1.2003 (0.9800)	Prec@1 64.062 (76.642)	Prec@5 98.438 (92.834)
[157/782(20%)]	Loss 0.9967 (0.9801)	Prec@1 64.062 (76.562)	Prec@5 96.875 (92.860)
[158/782(20%)]	Loss 0.6438 (0.9780)	Prec@1 81.250 (76.592)	Prec@5 98.438 (92.895)
[159/782(20%)]	Loss 0.8845 (0.9774)	Prec@1 73.438 (76.572)	Prec@5 98.438 (92.930)
[160/782(20%)]	Loss 0.9454 (0.9772)	Prec@1 71.875 (76.543)	Prec@5 93.750 (92.935)
[161/782(21%)]	Loss 0.9209 (0.9769)	Prec@1 78.125 (76.553)	Prec@5 93.750 (92.940)
[162/782(21%)]	Loss 0.6502 (0.9749)	Prec@1 85.938 (76.610)	Prec@5 96.875 (92.964)
[163/782(21%)]	Loss 1.0825 (0.9755)	Prec@1 73.438 (76.591)	Prec@5 96.875 (92.988)
[164/782(21%)]	Loss 0.8698 (0.9749)	Prec@1 75.000 (76.581)	Prec@5 93.750 (92.992)
[165/782(21%)]	Loss 1.1484 (0.9759)	Prec@1 68.750 (76.534)	Prec@5 93.750 (92.997)
[166/782(21%)]	Loss 1.0027 (0.9761)	Prec@1 75.000 (76.525)	Prec@5 89.062 (92.973)
[167/782(21%)]	Loss 0.9920 (0.9762)	Prec@1 79.688 (76.544)	Prec@5 92.188 (92.969)
[168/782(21%)]	Loss 0.9207 (0.9759)	Prec@1 82.812 (76.581)	Prec@5 92.188 (92.964)
[169/782(22%)]	Loss 0.4528 (0.9728)	Prec@1 85.938 (76.636)	Prec@5 98.438 (92.996)
[170/782(22%)]	Loss 0.3172 (0.9689)	Prec@1 92.188 (76.727)	Prec@5 100.000 (93.037)
[171/782(22%)]	Loss 1.2597 (0.9706)	Prec@1 71.875 (76.699)	Prec@5 93.750 (93.041)
[172/782(22%)]	Loss 1.4334 (0.9733)	Prec@1 75.000 (76.689)	Prec@5 85.938 (93.000)
[173/782(22%)]	Loss 1.3958 (0.9757)	Prec@1 64.062 (76.616)	Prec@5 89.062 (92.978)
[174/782(22%)]	Loss 0.8501 (0.9750)	Prec@1 79.688 (76.634)	Prec@5 93.750 (92.982)
[175/782(22%)]	Loss 0.9358 (0.9748)	Prec@1 75.000 (76.625)	Prec@5 92.188 (92.978)
[176/782(23%)]	Loss 1.1251 (0.9756)	Prec@1 79.688 (76.642)	Prec@5 92.188 (92.973)
[177/782(23%)]	Loss 2.4726 (0.9841)	Prec@1 53.125 (76.510)	Prec@5 81.250 (92.907)
[178/782(23%)]	Loss 0.5211 (0.9815)	Prec@1 85.938 (76.562)	Prec@5 96.875 (92.929)
[179/782(23%)]	Loss 0.9140 (0.9811)	Prec@1 78.125 (76.571)	Prec@5 92.188 (92.925)
[180/782(23%)]	Loss 1.3082 (0.9829)	Prec@1 60.938 (76.485)	Prec@5 93.750 (92.930)
[181/782(23%)]	Loss 1.0279 (0.9831)	Prec@1 65.625 (76.425)	Prec@5 93.750 (92.934)
[182/782(23%)]	Loss 0.7236 (0.9817)	Prec@1 82.812 (76.460)	Prec@5 96.875 (92.956)
[183/782(23%)]	Loss 1.1550 (0.9827)	Prec@1 68.750 (76.418)	Prec@5 95.312 (92.969)
[184/782(24%)]	Loss 1.0482 (0.9830)	Prec@1 76.562 (76.419)	Prec@5 89.062 (92.948)
[185/782(24%)]	Loss 1.0826 (0.9836)	Prec@1 68.750 (76.378)	Prec@5 92.188 (92.944)
[186/782(24%)]	Loss 0.9824 (0.9836)	Prec@1 76.562 (76.379)	Prec@5 95.312 (92.956)
[187/782(24%)]	Loss 1.3119 (0.9853)	Prec@1 56.250 (76.272)	Prec@5 100.000 (92.994)
